transaction_id,date,customer_id,region,category,product,quantity,unit_price,discount
T001,2026-01-05,C001,South,Electronics,Wireless Mouse,2,799,0.05
T002,2026-01-07,C002,East,Home,Water Bottle,3,499,0.00
T003,2026-01-09,C003,North,Electronics,Keyboard,1,1299,0.10
T004,2026-01-12,C004,West,Fashion,T-Shirt,4,699,0.15
T005,2026-01-16,C005,South,Home,Desk Lamp,2,899,0.05
T006,2026-01-21,C006,East,Beauty,Face Wash,5,299,0.00
T007,2026-02-03,C001,South,Electronics,Wireless Mouse,3,799,0.10
T008,2026-02-08,C007,North,Fashion,Hoodie,2,1499,0.10
T009,2026-02-14,C008,West,Home,Desk Organizer,1,599,0.05
T010,2026-02-19,C009,East,Electronics,Monitor Stand,2,1899,0.12
T011,2026-02-25,C010,South,Beauty,Moisturizer,4,649,0.05
T012,2026-03-02,C002,East,Home,Water Bottle,6,499,0.10
T013,2026-03-06,C003,North,Electronics,Keyboard,2,1299,0.05
T014,2026-03-11,C004,West,Fashion,T-Shirt,5,699,0.10
T015,2026-03-18,C005,South,Home,Desk Lamp,3,899,0.00
T016,2026-03-23,C011,West,Electronics,Headphones,2,2499,0.15
T017,2026-03-29,C012,North,Beauty,Face Wash,4,299,0.05
T018,2026-04-04,C001,South,Electronics,Wireless Mouse,4,799,0.05
T019,2026-04-08,C007,North,Fashion,Hoodie,1,1499,0.00
T020,2026-04-13,C008,West,Home,Desk Organizer,3,599,0.10
T021,2026-04-17,C009,East,Electronics,Monitor Stand,4,1899,0.15
T022,2026-04-24,C010,South,Beauty,Moisturizer,3,649,0.00
T023,2026-05-01,C002,East,Home,Water Bottle,8,499,0.05
T024,2026-05-07,C003,North,Electronics,Keyboard,3,1299,0.10
T025,2026-05-12,C004,West,Fashion,T-Shirt,6,699,0.20
T026,2026-05-20,C005,South,Home,Desk Lamp,4,899,0.05
T027,2026-05-25,C011,West,Electronics,Headphones,1,2499,0.10
T028,2026-06-02,C012,North,Beauty,Face Wash,7,299,0.00
T029,2026-06-09,C001,South,Electronics,Wireless Mouse,5,799,0.12
T030,2026-06-14,C007,North,Fashion,Hoodie,3,1499,0.15
T031,2026-06-18,C008,West,Home,Desk Organizer,4,599,0.05
T032,2026-06-22,C009,East,Electronics,Monitor Stand,3,1899,0.10
T033,2026-06-27,C010,South,Beauty,Moisturizer,5,649,0.10
T034,2026-07-03,C002,East,Home,Water Bottle,10,499,0.10
T035,2026-07-09,C003,North,Electronics,Keyboard,4,1299,0.05
T036,2026-07-14,C004,West,Fashion,T-Shirt,7,699,0.15
T037,2026-07-19,C005,South,Home,Desk Lamp,5,899,0.10
T038,2026-07-23,C011,West,Electronics,Headphones,2,2499,0.20
T039,2026-07-27,C012,North,Beauty,Face Wash,9,299,0.05
T040,2026-08-02,C001,South,Electronics,Wireless Mouse,6,799,0.10
T041,2026-08-08,C007,North,Fashion,Hoodie,4,1499,0.10
T042,2026-08-13,C008,West,Home,Desk Organizer,5,599,0.08
T043,2026-08-18,C009,East,Electronics,Monitor Stand,5,1899,0.15
T044,2026-08-24,C010,South,Beauty,Moisturizer,6,649,0.05
T045,2026-09-01,C002,East,Home,Water Bottle,12,499,0.12
T046,2026-09-06,C003,North,Electronics,Keyboard,5,1299,0.10
T047,2026-09-12,C004,West,Fashion,T-Shirt,8,699,0.15
T048,2026-09-19,C005,South,Home,Desk Lamp,6,899,0.05
T049,2026-09-23,C011,West,Electronics,Headphones,3,2499,0.15
T050,2026-09-29,C012,North,Beauty,Face Wash,10,299,0.00
